CODIGO,DESCRIPCION,MODELO,TAGS,QTY,N_PARTE
468637,CAMISA ESPACIADORA,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,A460222000
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,2,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,WA250Y-10
761950,PERNO AJUSTE ASH 10 x 10,10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,3,A460198103
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,2,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",10x10 SRH,710PP1508 | 710PP1509 | 710PP1512 | 710PP1513,1,WA250Y-10
465500,BOMBA ASH 10x10-SRM_BS P/SELLO MEC. PUR REPARABLE,10x10 SRM,323PP201 | 324PP202,1,
468488,CARCASA SUCCION,10x10 SRM,323PP201 | 324PP202,1,A460101000
468496,CARCASA PRENSA,10x10 SRM,323PP201 | 324PP202,1,A460102000
343103,REVESTIMIENTO LADO SUCCION,10x10 SRM,323PP201 | 324PP202,1,A460104090
343095,REVESTIMIENTO LADO PRENSA,10x10 SRM,323PP201 | 324PP202,1,A460105090
343137,IMPULSOR,10x10 SRM,323PP201 | 324PP202,1,A460107090
343384,DISCO SUCCION,10x10 SRM,323PP201 | 324PP202,1,A460110090
343152,DISCO PRENSA,10x10 SRM,323PP201 | 324PP202,1,A460211090
468553,EMPAQUETADURA FLANGE DESCARGA,10x10 SRM,323PP201 | 324PP202,1,A460197262
456079,ANILLO ESPACIADOR (golilla impulsor),10x10 SRM,323PP201 | 324PP202,1,A460134001
343079,BOMBA WARMAN 14x12x26-SRH_BS AK00770,14x12 SRH,710PP1535 | 710PP1536,1,A470200S90
465518,BOMBA WARMAN 14x12x26-SRH_BS AK00770 REPARABLE,14x12 SRH,710PP1535 | 710PP1536,1,
343046,REVESTIMIENTO LADO SUCCION,14x12 SRH,710PP1535 | 710PP1536,1,A470104090
343053,REVESTIMIENTO LADO PRENSA,14x12 SRH,710PP1535 | 710PP1536,1,A470105090
343061,IMPULSOR 5VC,14x12 SRH,710PP1535 | 710PP1536,1,A470107090
343376,DISCO SUCCION,14x12 SRH,710PP1535 | 710PP1536,1,A470110090
755748,DISCO PRENSA,14x12 SRH,710PP1535 | 710PP1536,1,A470211090
755749,CAJA PRENSA,14x12 SRH,710PP1535 | 710PP1536,1,A470230000
450700,PRENSA,14x12 SRH,710PP1535 | 710PP1536,1,A470131000
175596,ANILLO HIDRAULICO,14x12 SRH,710PP1535 | 710PP1536,1,A470132001
175604,CAMISA EJE,14x12 SRH,710PP1535 | 710PP1536,1,A470133000
175414,ANILLO ESPACIADOR (golilla impulsor),14x12 SRH,710PP1535 | 710PP1536,1,A470134000
355123,CORREA 8VX1800,14x12 SRH,710PP1535 | 710PP1536,6,1030138010
754303,"POLEA 14 D P.x 6 - 8V Polea Motor",14x12 SRH,710PP1535 | 710PP1536,1,PP06714000
754305,"POLEA 35.5 D P.x 6 - 8V Polea Bomba",14x12 SRH,710PP1535 | 710PP1536,1,PP06735500
756882,SOPORTE MOTOR,14x12 SRH,710PP1535 | 710PP1536,1,A470198800
756880,BASE SOPORTE BOMBA,14x12 SRH,710PP1535 | 710PP1536,1,A470199401
756881,BASE SOPORTE MOTOR,14x12 SRH,710PP1535 | 710PP1536,1,A470198900
756884,PASADOR CORTO ASH 14X12,14x12 SRH,710PP1535 | 710PP1536,1,A470198500
756885,PASADOR LARGO ASH 14X12,14x12 SRH,710PP1535 | 710PP1536,1,A470198200
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",14x12 SRH,710PP1535 | 710PP1536,1,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",14x12 SRH,710PP1535 | 710PP1536,2,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",14x12 SRH,710PP1535 | 710PP1536,1,WA250Y-10
730655,BOMBA WARMAN 3/2C-AH_DC 6561_1,3x2 C-AH,,1,710PP1629 | 710PP1631 | 710PP1632 | 710PP1633| 710PP1634
744964,WARMAN 3/2 C-AH REPARABLE,3x2 C-AH,,1,710PP1629 | 710PP1631 | 710PP1632 | 710PP1633| 710PP1634
756732,FRAME PLATE,3x2 C-AH,,1,C2032HSPRD21,710PP1629 | 710PP1631 | 710PP1632 | 710PP1633| 710PP1634
756733,COVER PLATE,3x2 C-AH,,1,C2013D21,710PP1629 | 710PP1631 | 710PP1632 | 710PP1633| 710PP1634
756739,DISCHARGE JOINT RING,3x2 C-AH,,1,C2132LS01,710PP1629 | 710PP1631 | 710PP1632 | 710PP1633| 710PP1634
756736,INTAKE JOINT RING,3x2 C-AH,,1,C2060S01 710PP1629 | 710PP1631 | 710PP1632 | 710PP1633| 710PP1634,
756735,COVER PLATE BOLT - 2 NUTS,3x2 C-AH,,4,C015ME63, 710PP1629 | 710PP1631 | 710PP1632 | 710PP1633| 710PP1634
756734,FRAME PLATE STUD - 2 NUTS,3x2 C-AH,,3,C039ME62,710PP1629 | 710PP1631 | 710PP1632 | 710PP1633| 710PP1634 
756908,PORTA RODAMIENT,3x2 CC-AH- MT,,1,CC005XLM, 710PP1629 | 710PP1631 | 710PP1632 | 710PP1633| 710PP1634 
730648,BOMBA WARMAN 4/3C-AH_DC 6561_2,4x3 C-AH,,1,PUMP4X3C-AH124,710PP1626 | 710PP1627 | 710PP1628
744363,WARMAN 4/3 C-AH REPARABLE,4x3 C-AH,,1,710PP1626 | 710PP1627 | 710PP1628
756661,COVER PLATE,4x3 C-AH,,1,D3013D21, 710PP1626 | 710PP1627 | 710PP1628
753964,FRAME PLATE LINER ( Revestimiento Prensa),4x3 C-AH-PU,,1,CAM3036HS1U38, 314PP201 | 314PP202
753963,COVER PLATE LINER (Revestimiento Succion),4x3 C-AH-PU,,1,D3017MU38, 314PP201 | 314PP202
756661,COVER PLATE,4x3 C-AH-PU,,1,D3013D21, 314PP201 | 314PP202
730481,STUFFING BOX,4x3 C-AH-PU,,1,CAM078HS1G01, 314PP201 | 314PP202
753965,SHAFT SLEEVE (Camisa Eje),4x3 C-AH-PU,,1,CAM076C23, 314PP201 | 314PP202
756554,BBA WARMAN 4/3DD-AH_ZV A05/A05 130152_1.,4x3 DD-AH,,1,PUMP4X3DD-AH077
756909,BOMBA WARMAN 4/3DD-AH_ZV 114542_1..,4x3 DD-AH,,1,PUMP4X3DD-AH075
758477,WARMAN 4/3 DD-AH REPARABLE,4x3 DD-AH,,1,
757721,SHAFT SLEEVE O-RING,4x3 DD-AH,,1,D109S10
761596,FRAME PLATE LINER( REVESTIMIENTO PRENSA),4x3 DD-AH,,1,D3036HS1U38
756625,FRAME PLATE,4x3 DD-AH,,1,D3032PRD21
761597,IMPELLER (POLIURETANO),4x3 DD-AH,,1,D3147U38
753963,COVER PLATE LINER( REVESTIMIENTO LADO SUCCION),4x3 DD-AH,,1,D3017MU38
761488,COVER PLATE LINER STUD,4x3 DD-AH,,2,M12Z3-40ZL
756661,COVER PLATE,4x3 DD-AH,,1,D3013D21
760848,GLAND (2 PIECE),4x3 DD-AH,,1,D044C23
756663,STUFFING BOX,4x3 DD-AH,,1,D078HS1A05
